in der Nähe von;недалеко от, близко от;nidaliko̒ at, bli̒ska at ;;
gegenüber von;напротив ;napro̒tif;;
Folgen Sie mir;Идите за мной;Idi̒te sa mnoj;;
neben X;рядом с X ;rjа́dam ß X;;
vorbeigehen;проходить мимо;prachadi̒t mi̒ma;;
zwischen;между;mе́shdu;;
Zeiten / Daten;Время / даты;Wrе́mja / dа́ty;;
jetzt;сейчас;ßijtschа́ß;;
heute;сегодня;ßiwo̒dnja;;
morgen;завтра;sа́ftra;;
gestern;вчера;ftschirа́;;
Sekunde;секунда;ßiku̒nda;;
Minute;минута;minu̒ta;;
Stunde;час;tschaß;;
Tag;день;den;;
Woche;неделя;nidе́lja;;
Monat;месяц;mе́ßitz;;
Jahr;год;god;;
früh;рано;rа́na;;
spät;поздно;po̒sdna;;
Montag;понедельник;panidе́lnik;;
Dienstag;вторник;fto̒rnik;;
Mittwoch;среда;ßridа́;;
Donnerstag;четверг;tschitwе́rg;;
Freitag;пятница;pjа́tnitza;;
Samstag;суббота;ßubo̒ta;;
Sonntag;воскресенье;waskrißе́nje;;
Frühling;весна;wisnа́;;
Sommer;лето;lе́ta;;
Herbst;осень;o̒ßin;;
Winter;зима;simа́;;
Januar;январь;janwа́r;;
Februar;февраль;fiwrа́l;;
März;март;mart;;
April;апрель;aprе́l;;
Mai;май;maj;;
Juni;июнь;iju̒n;;
Juli;июль;iju̒l;;
August;август;а́wgust;;
September;сентябрь;ßintjа́br;;
Oktober;октябрь;aktjа́br;;
November;ноябрь;najа́br;;
Dezember;декабрь;dikа́br;;
Uhrzeit;время;wrе́mja;;
Jahrzehnt;десятилетие;dißjatilе́tije;;
Jahrhundert;столетие, век;ßtalе́tije, wek;;
Orte;Места;Meßtа́;;
Supermarkt;супермаркет;ßupirmа́rkit;;
Krankenhaus;больница;balni̒tza;;
Bank;банк;bank;;
Hotel;гостиница, отель;gaßti̒nitza, atä̒l;;
Bar;бар;bar;;
Apotheke;аптека;aptе́ka;;
Strand;пляж;pljash;;
Restaurant;ресторан;rißtarа́n;;
Bäckerei;булочная;bu̒latschnaja;;
Bushaltestelle;автобусная остановка;afto̒bußnaja aßtano̒fka;;
Kirche;церковь;tzä̒rkaf;;
Kino;кинотеатр;kinatiа́tr;;
Tankstelle;заправочная станция (заправка);saprа́watschnaja ßtа́ntzija (saprа́fka);;
Museum;музей;musе́j;;
Polizeistation;полицейский участок;palitzä̒jskij utschа́stak;;
Schule;школа;schko̒la;;
Platz;площадь;plo̒schtschad;;
Zoo;зоопарк;saapа́rk;;
Einkaufen;Покупки;Paku̒pki;;
teuer;дорого;do̒raga;;
billig;дёшево;djo̒schewa;;
kostenlos;бесплатно;bißplа́tna;;
Wie viel kostet das?;Сколько это стоит?;ßko̒lka ä̒ta ßto̒it?;;
Kassierer;кассир;kaßi̒r;;
Trolley / Warenkorb;тележка / корзинка для покупок;tilе́shka / karsi̒nka dlja paku̒pak;;
